date,store,item,sales
2020-01-01,100,item_A,209.93
2020-01-01,100,item_B,197.26
2020-01-01,100,item_C,213.01
2020-01-01,100,item_D,230.55
2020-01-01,100,item_E,195.43
2020-01-01,100,item_F,195.46
2020-01-01,100,item_G,231.76
2020-01-01,100,item_H,215.55
2020-01-01,100,item_I,190.84
2020-01-01,100,item_J,211.11
2020-01-01,101,item_A,191.02
2020-01-01,101,item_B,191.0
2020-01-01,101,item_C,205.18
2020-01-01,101,item_D,162.11
2020-01-01,101,item_E,165.9
2020-01-01,101,item_F,189.18
2020-01-01,101,item_G,180.2
2020-01-01,101,item_H,206.77
2020-01-01,101,item_I,182.36
2020-01-01,101,item_J,172.3
2020-01-01,102,item_A,229.89
2020-01-01,102,item_B,196.09
2020-01-01,102,item_C,201.98
2020-01-01,102,item_D,172.16
2020-01-01,102,item_E,189.8
2020-01-01,102,item_F,202.94
2020-01-01,102,item_G,177.73
2020-01-01,102,item_H,208.29
2020-01-01,102,item_I,188.79
2020-01-01,102,item_J,195.0
2020-01-01,103,item_A,188.83
2020-01-01,103,item_B,237.93
2020-01-01,103,item_C,200.65
2020-01-01,103,item_D,179.79
2020-01-01,103,item_E,217.43
2020-01-01,103,item_F,176.59
2020-01-01,103,item_G,205.21
2020-01-01,103,item_H,161.87
2020-01-01,103,item_I,174.53
2020-01-01,103,item_J,205.06
2020-01-01,104,item_A,215.92
2020-01-01,104,item_B,204.6
2020-01-01,104,item_C,198.89
2020-01-01,104,item_D,195.21
2020-01-01,104,item_E,171.69
2020-01-01,104,item_F,186.89
2020-01-01,104,item_G,192.11
2020-01-01,104,item_H,222.49
2020-01-01,104,item_I,208.25
2020-01-01,104,item_J,166.14
2020-01-01,105,item_A,207.91
2020-01-01,105,item_B,193.76
2020-01-01,105,item_C,187.95
2020-01-01,105,item_D,213.75
2020-01-01,105,item_E,222.17
2020-01-01,105,item_F,220.2
2020-01-01,105,item_G,184.82
2020-01-01,105,item_H,195.45
2020-01-01,105,item_I,208.29
2020-01-01,105,item_J,221.2
2020-01-01,106,item_A,192.14
2020-01-01,106,item_B,198.03
2020-01-01,106,item_C,179.65
2020-01-01,106,item_D,177.88
2020-01-01,106,item_E,218.08
2020-01-01,106,item_F,228.99
2020-01-01,106,item_G,200.45
2020-01-01,106,item_H,221.99
2020-01-01,106,item_I,209.18
2020-01-01,106,item_J,189.07
2020-01-01,107,item_A,209.23
2020-01-01,107,item_B,232.8
2020-01-01,107,item_C,201.35
2020-01-01,107,item_D,233.38
2020-01-01,107,item_E,149.73
2020-01-01,107,item_F,218.59
2020-01-01,107,item_G,203.92
2020-01-01,107,item_H,196.23
2020-01-01,107,item_I,204.07
2020-01-01,107,item_J,162.51
2020-01-01,108,item_A,197.9
2020-01-01,108,item_B,209.46
2020-01-01,108,item_C,231.91
2020-01-01,108,item_D,192.01
2020-01-01,108,item_E,186.24
2020-01-01,108,item_F,192.4
2020-01-01,108,item_G,220.77
2020-01-01,108,item_H,209.07
2020-01-01,108,item_I,191.93
2020-01-01,108,item_J,212.82
2020-01-01,109,item_A,204.52
2020-01-01,109,item_B,221.98
2020-01-01,109,item_C,188.59
2020-01-01,109,item_D,196.11
2020-01-01,109,item_E,194.85
2020-01-01,109,item_F,173.45
2020-01-01,109,item_G,208.67
2020-01-01,109,item_H,208.0
2020-01-01,109,item_I,202.91
2020-01-01,109,item_J,198.14
2020-01-02,100,item_A,174.56
2020-01-02,100,item_B,194.48
2020-01-02,100,item_C,196.07
2020-01-02,100,item_D,186.91
2020-01-02,100,item_E,199.75
2020-01-02,100,item_F,211.09
2020-01-02,100,item_G,240.76
2020-01-02,100,item_H,206.56
2020-01-02,100,item_I,208.24
2020-01-02,100,item_J,201.63
2020-01-02,101,item_A,164.78
2020-01-02,101,item_B,202.65
2020-01-02,101,item_C,204.41
2020-01-02,101,item_D,252.5
2020-01-02,101,item_E,199.42
2020-01-02,101,item_F,209.32
2020-01-02,101,item_G,202.63
2020-01-02,101,item_H,179.98
2020-01-02,101,item_I,226.24
2020-01-02,101,item_J,218.45
2020-01-02,102,item_A,219.26
2020-01-02,102,item_B,185.28
2020-01-02,102,item_C,231.55
2020-01-02,102,item_D,175.49
2020-01-02,102,item_E,215.29
2020-01-02,102,item_F,247.39
2020-01-02,102,item_G,183.8
2020-01-02,102,item_H,192.31
2020-01-02,102,item_I,205.66
2020-01-02,102,item_J,193.62
2020-01-02,103,item_A,172.71
2020-01-02,103,item_B,205.12
2020-01-02,103,item_C,182.53
2020-01-02,103,item_D,213.28
2020-01-02,103,item_E,185.45
2020-01-02,103,item_F,234.86
2020-01-02,103,item_G,188.23
2020-01-02,103,item_H,197.48
2020-01-02,103,item_I,220.22
2020-01-02,103,item_J,179.36
2020-01-02,104,item_A,208.56
2020-01-02,104,item_B,230.18
2020-01-02,104,item_C,171.92
2020-01-02,104,item_D,207.79
2020-01-02,104,item_E,209.32
2020-01-02,104,item_F,219.79
2020-01-02,104,item_G,179.44
2020-01-02,104,item_H,177.8
2020-01-02,104,item_I,214.68
2020-01-02,104,item_J,210.21
2020-01-02,105,item_A,209.3
2020-01-02,105,item_B,211.25
2020-01-02,105,item_C,190.75
2020-01-02,105,item_D,209.03
2020-01-02,105,item_E,210.27
2020-01-02,105,item_F,190.15
2020-01-02,105,item_G,241.78
2020-01-02,105,item_H,213.97
2020-01-02,105,item_I,180.7
2020-01-02,105,item_J,217.68
2020-01-02,106,item_A,185.09
2020-01-02,106,item_B,220.35
2020-01-02,106,item_C,227.81
2020-01-02,106,item_D,188.25
2020-01-02,106,item_E,223.96
2020-01-02,106,item_F,212.98
2020-01-02,106,item_G,221.19
2020-01-02,106,item_H,242.72
2020-01-02,106,item_I,199.9
2020-01-02,106,item_J,189.76
2020-01-02,107,item_A,187.07
2020-01-02,107,item_B,188.58
2020-01-02,107,item_C,203.38
2020-01-02,107,item_D,211.77
2020-01-02,107,item_E,210.51
2020-01-02,107,item_F,221.55
2020-01-02,107,item_G,205.3
2020-01-02,107,item_H,234.14
2020-01-02,107,item_I,199.8
2020-01-02,107,item_J,259.53
2020-01-02,108,item_A,217.66
2020-01-02,108,item_B,188.04
2020-01-02,108,item_C,183.79
2020-01-02,108,item_D,214.89
2020-01-02,108,item_E,200.8
2020-01-02,108,item_F,219.57
2020-01-02,108,item_G,214.79
2020-01-02,108,item_H,203.89
2020-01-02,108,item_I,188.44
2020-01-02,108,item_J,175.11
2020-01-02,109,item_A,196.51
2020-01-02,109,item_B,222.59
2020-01-02,109,item_C,209.77
2020-01-02,109,item_D,180.61
2020-01-02,109,item_E,209.01
2020-01-02,109,item_F,213.28
2020-01-02,109,item_G,187.93
2020-01-02,109,item_H,208.71
2020-01-02,109,item_I,206.83
2020-01-02,109,item_J,182.83
2020-01-03,100,item_A,212.88
2020-01-03,100,item_B,216.96
2020-01-03,100,item_C,227.44
2020-01-03,100,item_D,226.88
2020-01-03,100,item_E,178.28
2020-01-03,100,item_F,187.11
2020-01-03,100,item_G,216.19
2020-01-03,100,item_H,216.2
2020-01-03,100,item_I,216.25
2020-01-03,100,item_J,283.03
2020-01-03,101,item_A,217.42
2020-01-03,101,item_B,228.74
2020-01-03,101,item_C,225.14
2020-01-03,101,item_D,219.12
2020-01-03,101,item_E,199.81
2020-01-03,101,item_F,221.33
2020-01-03,101,item_G,190.72
2020-01-03,101,item_H,201.47
2020-01-03,101,item_I,196.53
2020-01-03,101,item_J,207.9
2020-01-03,102,item_A,252.58
2020-01-03,102,item_B,168.97
2020-01-03,102,item_C,220.07
2020-01-03,102,item_D,174.12
2020-01-03,102,item_E,196.96
2020-01-03,102,item_F,228.21
2020-01-03,102,item_G,207.75
2020-01-03,102,item_H,184.93
2020-01-03,102,item_I,192.21
2020-01-03,102,item_J,220.14
2020-01-03,103,item_A,191.97
2020-01-03,103,item_B,210.93
2020-01-03,103,item_C,207.54
2020-01-03,103,item_D,193.63
2020-01-03,103,item_E,249.57
2020-01-03,103,item_F,219.39
2020-01-03,103,item_G,166.24
2020-01-03,103,item_H,210.5
2020-01-03,103,item_I,193.57
2020-01-03,103,item_J,223.88
2020-01-03,104,item_A,191.01
2020-01-03,104,item_B,204.59
2020-01-03,104,item_C,217.01
2020-01-03,104,item_D,224.26
2020-01-03,104,item_E,182.97
2020-01-03,104,item_F,200.31
2020-01-03,104,item_G,197.53
2020-01-03,104,item_H,193.99
2020-01-03,104,item_I,242.39
2020-01-03,104,item_J,215.21
2020-01-03,105,item_A,181.92
2020-01-03,105,item_B,225.53
2020-01-03,105,item_C,249.64
2020-01-03,105,item_D,227.88
2020-01-03,105,item_E,176.87
2020-01-03,105,item_F,197.6
2020-01-03,105,item_G,232.65
2020-01-03,105,item_H,193.19
2020-01-03,105,item_I,216.24
2020-01-03,105,item_J,222.89
2020-01-03,106,item_A,188.89
2020-01-03,106,item_B,206.26
2020-01-03,106,item_C,142.66
2020-01-03,106,item_D,187.02
2020-01-03,106,item_E,202.49
2020-01-03,106,item_F,182.61
2020-01-03,106,item_G,240.24
2020-01-03,106,item_H,179.02
2020-01-03,106,item_I,198.85
2020-01-03,106,item_J,210.3
2020-01-03,107,item_A,236.53
2020-01-03,107,item_B,179.02
